1. Using architecture PEs=4, L1=16, L2=128
    7. Model transformer with 96 layers: 3.578e+00
    8. Model resnet50 with 53 layers: 3.698e+00
    9. Model wide_resnet50 with 53 layers: 3.505e+00
    10. Model manual with 3 layers: 3.910e+00
    11. Model shufflenet_v2 with 56 layers: 3.670e+00
    12. Model squeezenet with 26 layers: 3.773e+00
    13. Model try with 3 layers: 3.377e+00
    14. Model resnet18 with 20 layers: 3.739e+00
    15. Model vgg16 with 13 layers: 3.884e+00
    16. Model densenet with 160 layers: 3.697e+00
    17. Model T5_m with 6 layers: 3.795e+00
    18. Model resnext50_32x4d with 53 layers: 3.642e+00
    19. Model BERT_m with 6 layers: 3.942e+00
    20. Model ALBERT_m with 5 layers: 1.975e+00

Final result with all models and fixed hardware = 3.672132572395128

11. Using architecture PEs=4, L1=64, L2=128
    1. Model mnasnet with 52 layers: 2.972e+00
    2. Model ncf_m with 12 layers: 2.549e+00
    3. Model mobilenet_v2 with 52 layers: 2.863e+00
    4. Model googlenet with 59 layers: 2.954e+00
    5. Model dlrmRMC1_m with 6 layers: 2.718e+00
    6. Model alexnet with 5 layers: 2.404e+00
    7. Model transformer with 96 layers: 2.128e+00
    8. Model resnet50 with 53 layers: 2.928e+00
    9. Model wide_resnet50 with 53 layers: 2.710e+00
    10. Model manual with 3 layers: 2.891e+00
    11. Model shufflenet_v2 with 56 layers: 3.118e+00
    12. Model squeezenet with 26 layers: 2.940e+00
    13. Model try with 3 layers: 3.020e+00
    14. Model resnet18 with 20 layers: 2.816e+00
    15. Model vgg16 with 13 layers: 2.906e+00
    16. Model densenet with 160 layers: 2.955e+00
    17. Model T5_m with 6 layers: 2.000e+00
    18. Model resnext50_32x4d with 53 layers: 2.846e+00
    19. Model BERT_m with 6 layers: 2.000e+00
    20. Model ALBERT_m with 5 layers: 1.200e+00

Final result with all models and fixed hardware = 2.7823813152909342

12. Using architecture PEs=4, L1=64, L2=256
    1. Model mnasnet with 52 layers: 3.200e+00
    2. Model ncf_m with 12 layers: 2.434e+00
    3. Model mobilenet_v2 with 52 layers: 3.354e+00
    4. Model googlenet with 59 layers: 3.270e+00
    5. Model dlrmRMC1_m with 6 layers: 2.578e+00
    6. Model alexnet with 5 layers: 3.050e+00
    7. Model transformer with 96 layers: 2.487e+00
    8. Model resnet50 with 53 layers: 3.164e+00
    9. Model wide_resnet50 with 53 layers: 3.122e+00
    10. Model manual with 3 layers: 2.538e+00
    11. Model shufflenet_v2 with 56 layers: 3.286e+00
    12. Model squeezenet with 26 layers: 3.352e+00
    13. Model try with 3 layers: 3.402e+00
    14. Model resnet18 with 20 layers: 3.243e+00
    15. Model vgg16 with 13 layers: 3.042e+00
    16. Model densenet with 160 layers: 3.215e+00
    17. Model T5_m with 6 layers: 2.000e+00
    18. Model resnext50_32x4d with 53 layers: 3.185e+00
    19. Model BERT_m with 6 layers: 2.518e+00
    20. Model ALBERT_m with 5 layers: 2.044e+00

Final result with all models and fixed hardware = 3.084562410013532

13. Using architecture PEs=4, L1=64, L2=512
    1. Model mnasnet with 52 layers: 3.552e+00
    2. Model ncf_m with 12 layers: 2.911e+00
    3. Model mobilenet_v2 with 52 layers: 3.495e+00
    4. Model googlenet with 59 layers: 3.601e+00
    5. Model dlrmRMC1_m with 6 layers: 3.134e+00
    6. Model alexnet with 5 layers: 2.991e+00
    7. Model transformer with 96 layers: 2.797e+00
    8. Model resnet50 with 53 layers: 3.405e+00
    9. Model wide_resnet50 with 53 layers: 3.452e+00
    10. Model manual with 3 layers: 3.969e+00
    11. Model shufflenet_v2 with 56 layers: 3.489e+00
    12. Model squeezenet with 26 layers: 3.660e+00
    13. Model try with 3 layers: 3.397e+00
    14. Model resnet18 with 20 layers: 3.496e+00
    15. Model vgg16 with 13 layers: 3.573e+00
    16. Model densenet with 160 layers: 3.423e+00
    17. Model T5_m with 6 layers: 2.600e+00
    18. Model resnext50_32x4d with 53 layers: 3.394e+00
    19. Model BERT_m with 6 layers: 2.597e+00
    20. Model ALBERT_m with 5 layers: 2.279e+00

Final result with all models and fixed hardware = 3.3540932625169146

14. Using architecture PEs=4, L1=64, L2=1024
    1. Model mnasnet with 52 layers: 3.569e+00
    2. Model ncf_m with 12 layers: 3.315e+00
    3. Model mobilenet_v2 with 52 layers: 3.513e+00
    4. Model googlenet with 59 layers: 3.610e+00
    5. Model dlrmRMC1_m with 6 layers: 3.473e+00
    6. Model alexnet with 5 layers: 3.780e+00
    7. Model transformer with 96 layers: 3.174e+00
    8. Model resnet50 with 53 layers: 3.655e+00
    9. Model wide_resnet50 with 53 layers: 3.585e+00
    10. Model manual with 3 layers: 3.904e+00
    11. Model shufflenet_v2 with 56 layers: 3.638e+00
    12. Model squeezenet with 26 layers: 3.530e+00
    13. Model try with 3 layers: 3.632e+00
    14. Model resnet18 with 20 layers: 3.695e+00
    15. Model vgg16 with 13 layers: 3.825e+00
    16. Model densenet with 160 layers: 3.562e+00
    17. Model T5_m with 6 layers: 3.266e+00
    18. Model resnext50_32x4d with 53 layers: 3.526e+00
    19. Model BERT_m with 6 layers: 3.179e+00
    20. Model ALBERT_m with 5 layers: 1.974e+00

Final result with all models and fixed hardware = 3.513091709066306

15. Using architecture PEs=4, L1=64, L2=2048
    1. Model mnasnet with 52 layers: 3.707e+00
    2. Model ncf_m with 12 layers: 3.537e+00
    3. Model mobilenet_v2 with 52 layers: 3.636e+00
    4. Model googlenet with 59 layers: 3.712e+00
    5. Model dlrmRMC1_m with 6 layers: 3.736e+00
    6. Model alexnet with 5 layers: 3.731e+00
    7. Model transformer with 96 layers: 3.549e+00
    8. Model resnet50 with 53 layers: 3.630e+00
    9. Model wide_resnet50 with 53 layers: 3.648e+00
    10. Model manual with 3 layers: 3.606e+00
    11. Model shufflenet_v2 with 56 layers: 3.687e+00
    12. Model squeezenet with 26 layers: 3.821e+00
    13. Model try with 3 layers: 3.900e+00
    14. Model resnet18 with 20 layers: 3.685e+00
    15. Model vgg16 with 13 layers: 3.869e+00
    16. Model densenet with 160 layers: 3.753e+00
    17. Model T5_m with 6 layers: 3.248e+00
    18. Model resnext50_32x4d with 53 layers: 3.671e+00
    19. Model BERT_m with 6 layers: 3.286e+00
    20. Model ALBERT_m with 5 layers: 1.975e+00

Final result with all models and fixed hardware = 3.6635036576454665

16. Using architecture PEs=4, L1=128, L2=128
    1. Model mnasnet with 52 layers: 3.009e+00
    2. Model ncf_m with 12 layers: 2.243e+00
    3. Model mobilenet_v2 with 52 layers: 2.859e+00
    4. Model googlenet with 59 layers: 3.007e+00
    5. Model dlrmRMC1_m with 6 layers: 2.651e+00
    6. Model alexnet with 5 layers: 2.773e+00
    7. Model transformer with 96 layers: 2.118e+00
    8. Model resnet50 with 53 layers: 2.820e+00
    9. Model wide_resnet50 with 53 layers: 2.768e+00
    10. Model manual with 3 layers: 2.654e+00
    11. Model shufflenet_v2 with 56 layers: 2.962e+00
    12. Model squeezenet with 26 layers: 3.018e+00
    13. Model try with 3 layers: 2.507e+00
    14. Model resnet18 with 20 layers: 2.986e+00
    15. Model vgg16 with 13 layers: 2.581e+00
    16. Model densenet with 160 layers: 2.997e+00
    17. Model T5_m with 6 layers: 2.100e+00
    18. Model resnext50_32x4d with 53 layers: 2.966e+00
    19. Model BERT_m with 6 layers: 2.688e+00
    20. Model ALBERT_m with 5 layers: 1.200e+00

Final result with all models and fixed hardware = 2.792113447902571

17. Using architecture PEs=4, L1=128, L2=256
    1. Model mnasnet with 52 layers: 3.180e+00
    2. Model ncf_m with 12 layers: 2.494e+00
    3. Model mobilenet_v2 with 52 layers: 3.217e+00
    4. Model googlenet with 59 layers: 3.206e+00
    5. Model dlrmRMC1_m with 6 layers: 2.727e+00
    6. Model alexnet with 5 layers: 3.581e+00
    7. Model transformer with 96 layers: 2.396e+00
    8. Model resnet50 with 53 layers: 3.156e+00
    9. Model wide_resnet50 with 53 layers: 3.310e+00
    10. Model manual with 3 layers: 3.573e+00
    11. Model shufflenet_v2 with 56 layers: 3.285e+00
    12. Model squeezenet with 26 layers: 3.509e+00
    13. Model try with 3 layers: 3.115e+00
    14. Model resnet18 with 20 layers: 3.266e+00
    15. Model vgg16 with 13 layers: 3.260e+00
    16. Model densenet with 160 layers: 3.364e+00
    17. Model T5_m with 6 layers: 2.824e+00
    18. Model resnext50_32x4d with 53 layers: 3.234e+00
    19. Model BERT_m with 6 layers: 2.575e+00
    20. Model ALBERT_m with 5 layers: 1.198e+00

Final result with all models and fixed hardware = 3.1254907753721244

18. Using architecture PEs=4, L1=128, L2=512
    1. Model mnasnet with 52 layers: 3.488e+00
    2. Model ncf_m with 12 layers: 2.827e+00
    3. Model mobilenet_v2 with 52 layers: 3.333e+00
    4. Model googlenet with 59 layers: 3.483e+00
    5. Model dlrmRMC1_m with 6 layers: 3.038e+00
    6. Model alexnet with 5 layers: 3.163e+00
    7. Model transformer with 96 layers: 2.866e+00
    8. Model resnet50 with 53 layers: 3.390e+00
    9. Model wide_resnet50 with 53 layers: 3.403e+00
    10. Model manual with 3 layers: 3.831e+00
    11. Model shufflenet_v2 with 56 layers: 3.486e+00
    12. Model squeezenet with 26 layers: 3.684e+00
    13. Model try with 3 layers: 2.803e+00
    14. Model resnet18 with 20 layers: 3.576e+00
    15. Model vgg16 with 13 layers: 3.588e+00
    16. Model densenet with 160 layers: 3.430e+00
    17. Model T5_m with 6 layers: 3.144e+00
    18. Model resnext50_32x4d with 53 layers: 3.392e+00
    19. Model BERT_m with 6 layers: 3.060e+00
    20. Model ALBERT_m with 5 layers: 2.281e+00

Final result with all models and fixed hardware = 3.341814985115021

19. Using architecture PEs=4, L1=128, L2=1024
    1. Model mnasnet with 52 layers: 3.554e+00
    2. Model ncf_m with 12 layers: 3.381e+00
    3. Model mobilenet_v2 with 52 layers: 3.714e+00
    4. Model googlenet with 59 layers: 3.749e+00
    5. Model dlrmRMC1_m with 6 layers: 3.385e+00
    6. Model alexnet with 5 layers: 3.003e+00
    7. Model transformer with 96 layers: 3.237e+00
    8. Model resnet50 with 53 layers: 3.563e+00
    9. Model wide_resnet50 with 53 layers: 3.544e+00
    10. Model manual with 3 layers: 3.662e+00
    11. Model shufflenet_v2 with 56 layers: 3.631e+00
    12. Model squeezenet with 26 layers: 3.701e+00
    13. Model try with 3 layers: 3.870e+00
    14. Model resnet18 with 20 layers: 3.497e+00
    15. Model vgg16 with 13 layers: 3.730e+00
    16. Model densenet with 160 layers: 3.589e+00
    17. Model T5_m with 6 layers: 3.588e+00
    18. Model resnext50_32x4d with 53 layers: 3.608e+00
    19. Model BERT_m with 6 layers: 3.276e+00
    20. Model ALBERT_m with 5 layers: 1.938e+00

Final result with all models and fixed hardware = 3.544493599458728

20. Using architecture PEs=4, L1=128, L2=2048
    1. Model mnasnet with 52 layers: 3.773e+00
    2. Model ncf_m with 12 layers: 3.551e+00
    3. Model mobilenet_v2 with 52 layers: 3.680e+00
    4. Model googlenet with 59 layers: 3.794e+00
    5. Model dlrmRMC1_m with 6 layers: 3.737e+00
    6. Model alexnet with 5 layers: 3.920e+00
    7. Model transformer with 96 layers: 3.506e+00
    8. Model resnet50 with 53 layers: 3.754e+00
    9. Model wide_resnet50 with 53 layers: 3.791e+00
    10. Model manual with 3 layers: 3.868e+00
    11. Model shufflenet_v2 with 56 layers: 3.715e+00
    12. Model squeezenet with 26 layers: 3.867e+00
    13. Model try with 3 layers: 3.888e+00
    14. Model resnet18 with 20 layers: 3.872e+00
    15. Model vgg16 with 13 layers: 3.812e+00
    16. Model densenet with 160 layers: 3.665e+00
    17. Model T5_m with 6 layers: 3.873e+00
    18. Model resnext50_32x4d with 53 layers: 3.788e+00
    19. Model BERT_m with 6 layers: 3.721e+00
    20. Model ALBERT_m with 5 layers: 2.359e+00

Final result with all models and fixed hardware = 3.702122219215156

21. Using architecture PEs=8, L1=16, L2=128
    1. Model mnasnet with 52 layers: 4.824e+00
    2. Model ncf_m with 12 layers: 4.142e+00
    3. Model mobilenet_v2 with 52 layers: 4.921e+00
    4. Model googlenet with 59 layers: 4.940e+00
    5. Model dlrmRMC1_m with 6 layers: 4.182e+00
    6. Model alexnet with 5 layers: 5.156e+00
    7. Model transformer with 96 layers: 4.024e+00
    8. Model resnet50 with 53 layers: 4.528e+00
    9. Model wide_resnet50 with 53 layers: 4.721e+00
    10. Model manual with 3 layers: 4.800e+00
    11. Model shufflenet_v2 with 56 layers: 4.901e+00
    12. Model squeezenet with 26 layers: 4.906e+00
    13. Model try with 3 layers: 4.533e+00
    14. Model resnet18 with 20 layers: 4.790e+00
    15. Model vgg16 with 13 layers: 4.222e+00
    16. Model densenet with 160 layers: 4.908e+00
    17. Model T5_m with 6 layers: 3.494e+00
    18. Model resnext50_32x4d with 53 layers: 4.689e+00
    19. Model BERT_m with 6 layers: 4.000e+00
    20. Model ALBERT_m with 5 layers: 2.585e+00

Final result with all models and fixed hardware = 4.665300516914749

22. Using architecture PEs=8, L1=16, L2=256
    1. Model mnasnet with 52 layers: 5.772e+00
    2. Model ncf_m with 12 layers: 4.822e+00
    3. Model mobilenet_v2 with 52 layers: 5.649e+00
    4. Model googlenet with 59 layers: 6.192e+00
    5. Model dlrmRMC1_m with 6 layers: 4.727e+00
    6. Model alexnet with 5 layers: 5.548e+00
    7. Model transformer with 96 layers: 3.936e+00
    8. Model resnet50 with 53 layers: 5.859e+00
    9. Model wide_resnet50 with 53 layers: 5.298e+00
    10. Model manual with 3 layers: 4.635e+00
    11. Model shufflenet_v2 with 56 layers: 5.146e+00
    12. Model squeezenet with 26 layers: 5.854e+00
    13. Model try with 3 layers: 5.962e+00
    14. Model resnet18 with 20 layers: 5.497e+00
    15. Model vgg16 with 13 layers: 5.154e+00
    16. Model densenet with 160 layers: 5.620e+00
    17. Model T5_m with 6 layers: 2.914e+00
    18. Model resnext50_32x4d with 53 layers: 5.716e+00
    19. Model BERT_m with 6 layers: 4.331e+00
    20. Model ALBERT_m with 5 layers: 3.022e+00

Final result with all models and fixed hardware = 5.348025981055479

23. Using architecture PEs=8, L1=16, L2=512
    1. Model mnasnet with 52 layers: 5.886e+00
    2. Model ncf_m with 12 layers: 5.207e+00
    3. Model mobilenet_v2 with 52 layers: 6.273e+00
    4. Model googlenet with 59 layers: 6.429e+00
    5. Model dlrmRMC1_m with 6 layers: 4.049e+00
    6. Model alexnet with 5 layers: 5.858e+00
    7. Model transformer with 96 layers: 5.054e+00
    8. Model resnet50 with 53 layers: 6.358e+00
    9. Model wide_resnet50 with 53 layers: 5.829e+00
    10. Model manual with 3 layers: 7.022e+00
    11. Model shufflenet_v2 with 56 layers: 6.267e+00
    12. Model squeezenet with 26 layers: 6.483e+00
    13. Model try with 3 layers: 6.337e+00
    14. Model resnet18 with 20 layers: 5.910e+00
    15. Model vgg16 with 13 layers: 5.973e+00
    16. Model densenet with 160 layers: 6.091e+00
    17. Model T5_m with 6 layers: 4.180e+00
    18. Model resnext50_32x4d with 53 layers: 5.948e+00
    19. Model BERT_m with 6 layers: 4.768e+00
    20. Model ALBERT_m with 5 layers: 3.496e+00

Final result with all models and fixed hardware = 5.920331860622463

24. Using architecture PEs=8, L1=16, L2=1024
    1. Model mnasnet with 52 layers: 6.494e+00
    2. Model ncf_m with 12 layers: 5.871e+00
    3. Model mobilenet_v2 with 52 layers: 6.808e+00
    4. Model googlenet with 59 layers: 6.649e+00
    5. Model dlrmRMC1_m with 6 layers: 6.751e+00
    6. Model alexnet with 5 layers: 6.147e+00
    7. Model transformer with 96 layers: 6.053e+00
    8. Model resnet50 with 53 layers: 6.785e+00
    9. Model wide_resnet50 with 53 layers: 6.420e+00
    10. Model manual with 3 layers: 5.829e+00
    11. Model shufflenet_v2 with 56 layers: 6.519e+00
    12. Model squeezenet with 26 layers: 6.980e+00
    13. Model try with 3 layers: 6.179e+00
    14. Model resnet18 with 20 layers: 6.810e+00
    15. Model vgg16 with 13 layers: 6.742e+00
    16. Model densenet with 160 layers: 6.597e+00
    17. Model T5_m with 6 layers: 5.556e+00
    18. Model resnext50_32x4d with 53 layers: 6.338e+00
    19. Model BERT_m with 6 layers: 5.266e+00
    20. Model ALBERT_m with 5 layers: 3.154e+00

Final result with all models and fixed hardware = 6.475183369418131

25. Using architecture PEs=8, L1=16, L2=2048
    1. Model mnasnet with 52 layers: 6.991e+00
    2. Model ncf_m with 12 layers: 5.890e+00
    3. Model mobilenet_v2 with 52 layers: 6.840e+00
    4. Model googlenet with 59 layers: 6.808e+00
    5. Model dlrmRMC1_m with 6 layers: 7.232e+00
    6. Model alexnet with 5 layers: 7.153e+00
    7. Model transformer with 96 layers: 6.357e+00
    8. Model resnet50 with 53 layers: 6.734e+00
    9. Model wide_resnet50 with 53 layers: 6.728e+00
    10. Model manual with 3 layers: 7.684e+00
    11. Model shufflenet_v2 with 56 layers: 6.815e+00
    12. Model squeezenet with 26 layers: 7.100e+00
    13. Model try with 3 layers: 6.869e+00
    14. Model resnet18 with 20 layers: 6.820e+00
    15. Model vgg16 with 13 layers: 6.996e+00
    16. Model densenet with 160 layers: 6.860e+00
    17. Model T5_m with 6 layers: 4.552e+00
    18. Model resnext50_32x4d with 53 layers: 6.957e+00
    19. Model BERT_m with 6 layers: 6.553e+00
    20. Model ALBERT_m with 5 layers: 4.605e+00

Final result with all models and fixed hardware = 6.749184248985115

26. Using architecture PEs=8, L1=32, L2=128
    1. Model mnasnet with 52 layers: 4.741e+00
