1. Using architecture PEs=4, L1=16, L2=128
    7. Model transformer with 96 layers: 3.578e+00
    8. Model resnet50 with 53 layers: 3.698e+00
    9. Model wide_resnet50 with 53 layers: 3.505e+00
    10. Model manual with 3 layers: 3.910e+00
    11. Model shufflenet_v2 with 56 layers: 3.670e+00
    12. Model squeezenet with 26 layers: 3.773e+00
    13. Model try with 3 layers: 3.377e+00
    14. Model resnet18 with 20 layers: 3.739e+00
    15. Model vgg16 with 13 layers: 3.884e+00
    16. Model densenet with 160 layers: 3.697e+00
    17. Model T5_m with 6 layers: 3.795e+00
    18. Model resnext50_32x4d with 53 layers: 3.642e+00
    19. Model BERT_m with 6 layers: 3.942e+00
    20. Model ALBERT_m with 5 layers: 1.975e+00

Final result with all models and fixed hardware = 3.672132572395128

11. Using architecture PEs=4, L1=64, L2=128
    1. Model mnasnet with 52 layers: 2.972e+00
    2. Model ncf_m with 12 layers: 2.549e+00
    3. Model mobilenet_v2 with 52 layers: 2.863e+00
    4. Model googlenet with 59 layers: 2.954e+00
    5. Model dlrmRMC1_m with 6 layers: 2.718e+00
    6. Model alexnet with 5 layers: 2.404e+00
    7. Model transformer with 96 layers: 2.128e+00
    8. Model resnet50 with 53 layers: 2.928e+00
    9. Model wide_resnet50 with 53 layers: 2.710e+00
    10. Model manual with 3 layers: 2.891e+00
    11. Model shufflenet_v2 with 56 layers: 3.118e+00
    12. Model squeezenet with 26 layers: 2.940e+00
    13. Model try with 3 layers: 3.020e+00
    14. Model resnet18 with 20 layers: 2.816e+00
    15. Model vgg16 with 13 layers: 2.906e+00
    16. Model densenet with 160 layers: 2.955e+00
    17. Model T5_m with 6 layers: 2.000e+00
    18. Model resnext50_32x4d with 53 layers: 2.846e+00
    19. Model BERT_m with 6 layers: 2.000e+00
    20. Model ALBERT_m with 5 layers: 1.200e+00

Final result with all models and fixed hardware = 2.7823813152909342

12. Using architecture PEs=4, L1=64, L2=256
    1. Model mnasnet with 52 layers: 3.200e+00
    2. Model ncf_m with 12 layers: 2.434e+00
    3. Model mobilenet_v2 with 52 layers: 3.354e+00
    4. Model googlenet with 59 layers: 3.270e+00
    5. Model dlrmRMC1_m with 6 layers: 2.578e+00
    6. Model alexnet with 5 layers: 3.050e+00
    7. Model transformer with 96 layers: 2.487e+00
    8. Model resnet50 with 53 layers: 3.164e+00
    9. Model wide_resnet50 with 53 layers: 3.122e+00
    10. Model manual with 3 layers: 2.538e+00
    11. Model shufflenet_v2 with 56 layers: 3.286e+00
    12. Model squeezenet with 26 layers: 3.352e+00
    13. Model try with 3 layers: 3.402e+00
    14. Model resnet18 with 20 layers: 3.243e+00
    15. Model vgg16 with 13 layers: 3.042e+00
    16. Model densenet with 160 layers: 3.215e+00
    17. Model T5_m with 6 layers: 2.000e+00
    18. Model resnext50_32x4d with 53 layers: 3.185e+00
    19. Model BERT_m with 6 layers: 2.518e+00
    20. Model ALBERT_m with 5 layers: 2.044e+00

Final result with all models and fixed hardware = 3.084562410013532

13. Using architecture PEs=4, L1=64, L2=512
    1. Model mnasnet with 52 layers: 3.552e+00
    2. Model ncf_m with 12 layers: 2.911e+00
    3. Model mobilenet_v2 with 52 layers: 3.495e+00
    4. Model googlenet with 59 layers: 3.601e+00
    5. Model dlrmRMC1_m with 6 layers: 3.134e+00
    6. Model alexnet with 5 layers: 2.991e+00
    7. Model transformer with 96 layers: 2.797e+00
    8. Model resnet50 with 53 layers: 3.405e+00
    9. Model wide_resnet50 with 53 layers: 3.452e+00
    10. Model manual with 3 layers: 3.969e+00
    11. Model shufflenet_v2 with 56 layers: 3.489e+00
    12. Model squeezenet with 26 layers: 3.660e+00
    13. Model try with 3 layers: 3.397e+00
    14. Model resnet18 with 20 layers: 3.496e+00
    15. Model vgg16 with 13 layers: 3.573e+00
    16. Model densenet with 160 layers: 3.423e+00
    17. Model T5_m with 6 layers: 2.600e+00
    18. Model resnext50_32x4d with 53 layers: 3.394e+00
    19. Model BERT_m with 6 layers: 2.597e+00
    20. Model ALBERT_m with 5 layers: 2.279e+00

Final result with all models and fixed hardware = 3.3540932625169146

14. Using architecture PEs=4, L1=64, L2=1024
    1. Model mnasnet with 52 layers: 3.569e+00
    2. Model ncf_m with 12 layers: 3.315e+00
    3. Model mobilenet_v2 with 52 layers: 3.513e+00
    4. Model googlenet with 59 layers: 3.610e+00
    5. Model dlrmRMC1_m with 6 layers: 3.473e+00
    6. Model alexnet with 5 layers: 3.780e+00
    7. Model transformer with 96 layers: 3.174e+00
    8. Model resnet50 with 53 layers: 3.655e+00
    9. Model wide_resnet50 with 53 layers: 3.585e+00
    10. Model manual with 3 layers: 3.904e+00
    11. Model shufflenet_v2 with 56 layers: 3.638e+00
    12. Model squeezenet with 26 layers: 3.530e+00
    13. Model try with 3 layers: 3.632e+00
    14. Model resnet18 with 20 layers: 3.695e+00
    15. Model vgg16 with 13 layers: 3.825e+00
    16. Model densenet with 160 layers: 3.562e+00
    17. Model T5_m with 6 layers: 3.266e+00
    18. Model resnext50_32x4d with 53 layers: 3.526e+00
    19. Model BERT_m with 6 layers: 3.179e+00
    20. Model ALBERT_m with 5 layers: 1.974e+00

Final result with all models and fixed hardware = 3.513091709066306

15. Using architecture PEs=4, L1=64, L2=2048
    1. Model mnasnet with 52 layers: 3.707e+00
    2. Model ncf_m with 12 layers: 3.537e+00
    3. Model mobilenet_v2 with 52 layers: 3.636e+00
    4. Model googlenet with 59 layers: 3.712e+00
    5. Model dlrmRMC1_m with 6 layers: 3.736e+00
    6. Model alexnet with 5 layers: 3.731e+00
    7. Model transformer with 96 layers: 3.549e+00
    8. Model resnet50 with 53 layers: 3.630e+00
    9. Model wide_resnet50 with 53 layers: 3.648e+00
    10. Model manual with 3 layers: 3.606e+00
    11. Model shufflenet_v2 with 56 layers: 3.687e+00
    12. Model squeezenet with 26 layers: 3.821e+00
    13. Model try with 3 layers: 3.900e+00
    14. Model resnet18 with 20 layers: 3.685e+00
    15. Model vgg16 with 13 layers: 3.869e+00
    16. Model densenet with 160 layers: 3.753e+00
    17. Model T5_m with 6 layers: 3.248e+00
    18. Model resnext50_32x4d with 53 layers: 3.671e+00
    19. Model BERT_m with 6 layers: 3.286e+00
    20. Model ALBERT_m with 5 layers: 1.975e+00

Final result with all models and fixed hardware = 3.6635036576454665

16. Using architecture PEs=4, L1=128, L2=128
    1. Model mnasnet with 52 layers: 3.009e+00
    2. Model ncf_m with 12 layers: 2.243e+00
    3. Model mobilenet_v2 with 52 layers: 2.859e+00
    4. Model googlenet with 59 layers: 3.007e+00
    5. Model dlrmRMC1_m with 6 layers: 2.651e+00
    6. Model alexnet with 5 layers: 2.773e+00
    7. Model transformer with 96 layers: 2.118e+00
    8. Model resnet50 with 53 layers: 2.820e+00
    9. Model wide_resnet50 with 53 layers: 2.768e+00
    10. Model manual with 3 layers: 2.654e+00
    11. Model shufflenet_v2 with 56 layers: 2.962e+00
    12. Model squeezenet with 26 layers: 3.018e+00
    13. Model try with 3 layers: 2.507e+00
    14. Model resnet18 with 20 layers: 2.986e+00
    15. Model vgg16 with 13 layers: 2.581e+00
    16. Model densenet with 160 layers: 2.997e+00
    17. Model T5_m with 6 layers: 2.100e+00
    18. Model resnext50_32x4d with 53 layers: 2.966e+00
    19. Model BERT_m with 6 layers: 2.688e+00
    20. Model ALBERT_m with 5 layers: 1.200e+00

Final result with all models and fixed hardware = 2.792113447902571

17. Using architecture PEs=4, L1=128, L2=256
    1. Model mnasnet with 52 layers: 3.180e+00
    2. Model ncf_m with 12 layers: 2.494e+00
    3. Model mobilenet_v2 with 52 layers: 3.217e+00
    4. Model googlenet with 59 layers: 3.206e+00
    5. Model dlrmRMC1_m with 6 layers: 2.727e+00
    6. Model alexnet with 5 layers: 3.581e+00
    7. Model transformer with 96 layers: 2.396e+00
    8. Model resnet50 with 53 layers: 3.156e+00
    9. Model wide_resnet50 with 53 layers: 3.310e+00
    10. Model manual with 3 layers: 3.573e+00
    11. Model shufflenet_v2 with 56 layers: 3.285e+00
    12. Model squeezenet with 26 layers: 3.509e+00
    13. Model try with 3 layers: 3.115e+00
    14. Model resnet18 with 20 layers: 3.266e+00
    15. Model vgg16 with 13 layers: 3.260e+00
    16. Model densenet with 160 layers: 3.364e+00
    17. Model T5_m with 6 layers: 2.824e+00
    18. Model resnext50_32x4d with 53 layers: 3.234e+00
    19. Model BERT_m with 6 layers: 2.575e+00
    20. Model ALBERT_m with 5 layers: 1.198e+00

Final result with all models and fixed hardware = 3.1254907753721244

18. Using architecture PEs=4, L1=128, L2=512
    1. Model mnasnet with 52 layers: 3.422e+00
    2. Model ncf_m with 12 layers: 2.840e+00
    3. Model mobilenet_v2 with 52 layers: 3.454e+00
    4. Model googlenet with 59 layers: 
